"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 20 21:23:02 BDT 2025","Thu Mar 20 21:25:13 BDT 2025","131015","","Sign in page","","Sign in with valid credentials","","Sign in with valid credentials",""
"broken","Thu Mar 20 21:22:53 BDT 2025","Thu Mar 20 21:23:01 BDT 2025","8216","","Home page","","Home page elements validation","","Home page elements validation",""
"broken","Thu Mar 20 21:25:13 BDT 2025","Thu Mar 20 21:25:14 BDT 2025","1433","","Sign Up page Validation","","sign up page display","","sign up page display",""
"broken","Thu Mar 20 20:54:09 BDT 2025","Thu Mar 20 20:54:10 BDT 2025","1301","","Sign Up page Validation","","UI Validation","","UI Validation",""
